time,gamma,concurrence
147.75,0.001,0
148.0,0.001,0
148.25,0.001,0
148.5,0.001,0
148.75,0.001,0
149.0,0.001,0
149.25,0.001,0
149.5,0.001,0
149.75,0.001,0
150.0,0.001,0
150.25,0.001,0
150.5,0.001,0
150.75,0.001,0
151.0,0.001,0
151.25,0.001,0
151.5,0.001,0
151.75,0.001,0
152.0,0.001,0
152.25,0.001,0
152.5,0.001,0
152.75,0.001,0
153.0,0.001,0
153.25,0.001,0
153.5,0.001,0
153.75,0.001,0
154.0,0.001,0
154.25,0.001,0
154.5,0.001,0
154.75,0.001,0
155.0,0.001,0
155.25,0.001,0
155.5,0.001,0
155.75,0.001,0
156.0,0.001,0
156.25,0.001,0
156.5,0.001,0
156.75,0.001,0
157.0,0.001,0
157.25,0.001,0
157.5,0.001,0
157.75,0.001,0
158.0,0.001,0
158.25,0.001,0
158.5,0.001,0
158.75,0.001,0
159.0,0.001,0
159.25,0.001,0
159.5,0.001,0
159.75,0.001,0
160.0,0.001,0
160.25,0.001,0
160.5,0.001,0
160.75,0.001,0
161.0,0.001,0
161.25,0.001,0
161.5,0.001,0
161.75,0.001,0
162.0,0.001,0
162.25,0.001,0
162.5,0.001,0
162.75,0.001,0
163.0,0.001,0
163.25,0.001,0
163.5,0.001,0
163.75,0.001,0
164.0,0.001,0
164.25,0.001,0
164.5,0.001,0
164.75,0.001,0
165.0,0.001,0
165.25,0.001,0
165.5,0.001,0
165.75,0.001,0
166.0,0.001,0
166.25,0.001,0
166.5,0.001,0
166.75,0.001,0
167.0,0.001,0
167.25,0.001,0
167.5,0.001,0
167.75,0.001,0
168.0,0.001,0
168.25,0.001,0
168.5,0.001,0
168.75,0.001,0
169.0,0.001,0
169.25,0.001,0
169.5,0.001,0
169.75,0.001,0
170.0,0.001,0
170.25,0.001,0
170.5,0.001,0
170.75,0.001,0
171.0,0.001,0
171.25,0.001,0
171.5,0.001,0
171.75,0.001,0
172.0,0.001,0
172.25,0.001,0
172.5,0.001,0
172.75,0.001,0
173.0,0.001,0
173.25,0.001,0
173.5,0.001,0
173.75,0.001,0
174.0,0.001,0
174.25,0.001,0
174.5,0.001,0
174.75,0.001,0
175.0,0.001,0
175.25,0.001,0
175.5,0.001,0
175.75,0.001,0
176.0,0.001,0
176.25,0.001,0
176.5,0.001,0
176.75,0.001,0
177.0,0.001,0
177.25,0.001,0
177.5,0.001,0
177.75,0.001,0
178.0,0.001,0
178.25,0.001,0
178.5,0.001,0
178.75,0.001,0
179.0,0.001,0
179.25,0.001,0
179.5,0.001,0
179.75,0.001,0
180.0,0.001,0
180.25,0.001,0
180.5,0.001,0
180.75,0.001,0
181.0,0.001,0
181.25,0.001,0
181.5,0.001,0
181.75,0.001,0
182.0,0.001,0
182.25,0.001,0
182.5,0.001,0
182.75,0.001,0
183.0,0.001,0
183.25,0.001,0
183.5,0.001,0
183.75,0.001,0
184.0,0.001,0
184.25,0.001,0
184.5,0.001,0
184.75,0.001,0
185.0,0.001,0
185.25,0.001,0
185.5,0.001,0
185.75,0.001,0
186.0,0.001,0
186.25,0.001,0
186.5,0.001,0
186.75,0.001,0
187.0,0.001,0
187.25,0.001,0
187.5,0.001,0
187.75,0.001,0
188.0,0.001,0
188.25,0.001,0
188.5,0.001,0
188.75,0.001,0
189.0,0.001,0
189.25,0.001,0
189.5,0.001,0
189.75,0.001,0
190.0,0.001,0
190.25,0.001,0
190.5,0.001,0
190.75,0.001,0
191.0,0.001,0
191.25,0.001,0
191.5,0.001,0
191.75,0.001,0
192.0,0.001,0
192.25,0.001,0
192.5,0.001,0
192.75,0.001,0
193.0,0.001,0
193.25,0.001,0
193.5,0.001,0
193.75,0.001,0
194.0,0.001,0
194.25,0.001,0
194.5,0.001,0
194.75,0.001,0
195.0,0.001,0
195.25,0.001,0
195.5,0.001,0
195.75,0.001,0
196.0,0.001,0
196.25,0.001,0
196.5,0.001,0
196.75,0.001,0
197.0,0.001,0
197.25,0.001,0
197.5,0.001,0
197.75,0.001,0
198.0,0.001,0
198.25,0.001,0
198.5,0.001,0
198.75,0.001,0
199.0,0.001,0
199.25,0.001,0
199.5,0.001,0
199.75,0.001,0
